overlay,mode,cagr,max_drawdown,total_return,sharpe,avg_cash,avg_top_weight,avg_tactical_active_count,rebalance_days,first_return_date,latest_return_date,observations
none,static_score,42.30%,-31.22%,358.22%,1.14,42.08%,29.01%,2.62,348,2022-01-04,2026-04-29,1083
none,dynamic_score,44.39%,-32.11%,388.00%,1.17,42.23%,31.01%,2.62,677,2022-01-04,2026-04-29,1083
none,dynamic_sqrt_score,42.65%,-30.99%,363.12%,1.18,42.14%,27.32%,2.62,664,2022-01-04,2026-04-29,1083
top2,static_score,37.14%,-35.18%,290.68%,1.10,58.33%,31.91%,1.20,301,2022-01-04,2026-04-29,1083
top2,dynamic_score,38.24%,-34.98%,304.42%,1.12,58.41%,32.56%,1.20,564,2022-01-04,2026-04-29,1083
top2,dynamic_sqrt_score,37.27%,-35.19%,292.30%,1.12,58.01%,30.07%,1.20,543,2022-01-04,2026-04-29,1083
top3,static_score,52.05%,-32.21%,509.90%,1.40,55.34%,29.33%,1.64,298,2022-01-04,2026-04-29,1083
top3,dynamic_score,53.46%,-32.10%,534.70%,1.42,55.49%,30.36%,1.64,620,2022-01-04,2026-04-29,1083
top3,dynamic_sqrt_score,52.41%,-30.56%,516.12%,1.44,55.34%,26.92%,1.64,605,2022-01-04,2026-04-29,1083
top4,static_score,48.53%,-34.80%,451.27%,1.33,53.47%,27.84%,1.97,330,2022-01-04,2026-04-29,1083
top4,dynamic_score,51.19%,-33.60%,495.12%,1.38,53.62%,28.97%,1.97,640,2022-01-04,2026-04-29,1083
top4,dynamic_sqrt_score,49.57%,-32.02%,468.18%,1.40,53.52%,25.35%,1.97,627,2022-01-04,2026-04-29,1083
top5,static_score,47.15%,-33.50%,429.48%,1.31,52.24%,26.99%,2.17,343,2022-01-04,2026-04-29,1083
top5,dynamic_score,48.92%,-33.96%,457.61%,1.33,52.40%,28.35%,2.17,642,2022-01-04,2026-04-29,1083
top5,dynamic_sqrt_score,47.38%,-33.14%,433.14%,1.36,52.31%,24.79%,2.17,629,2022-01-04,2026-04-29,1083
